temps_ms,pi_valeur,difference,error_percent,ntotal,nprocess
107,3.137532,-0.004060653589792906,-0.12925461819987813,1000000,1
201,3.142838,0.0012453464102066825,0.03964060740922814,2000000,2
284,3.140952,-6.406535897931498E-4,-0.020392637125029443,3000000,3
1040,3.141269,-3.236535897932491E-4,-0.01030221373300644,4000000,4
1490,3.1428464,0.001253746410206702,0.039907987713623146,5000000,5
1309,3.1421513333333335,5.586797435404023E-4,0.01778332855795348,6000000,6
1772,3.141288,-3.0465358979325785E-4,-0.009697424949257516,7000000,7
2709,3.1412515,-3.411535897930307E-4,-0.01085925603382112,8000000,8
