temps_ms,pi_valeur,erreur_avant,error_avant_relative,log10Error,ntotal,n_workers
551,3.141553125,-3.95285897929476E-5,-1.258249923529388E-5,-4.403088679106707,32000000,2
551,6.28310625,3.141513596410207,0.49999370875038235,0.4971389436741604,16000000,1
141,3.14135925,-2.3340358979329068E-4,-7.43001902101107E-5,-3.6318924687044096,16000000,1
110,3.1407655,-8.271535897930171E-4,-2.6336050551784815E-4,-3.0824138411048683,16000000,1
94,3.14150675,-8.590358979310153E-5,-2.734470960251845E-5,-4.065988687219282,16000000,1
580,3.1413825625,-2.1009108979308522E-4,-6.68785433207119E-5,-3.6775923661364214,64000000,4
626,12.56553025,9.423937596410207,0.7499832803641698,0.9742324016339826,16000000,1
604,3.141291875,-3.007785897932713E-4,-9.574996586182281E-5,-3.5217530811973194,64000000,4
604,12.5651675,9.423574846410206,0.7499760625085345,0.9742156842741923,16000000,1
453,3.14164072,4.8066410206715204E-5,1.529977947532944E-5,-4.3181583115229145,50000000,4
452,3.14157672,-1.5933589792904712E-5,-5.071844876958698E-6,-4.7976863678514565,50000000,4
578,3.141717375,1.2472141020669625E-4,3.969848185554764E-5,-3.904058987287431,64000000,4
469,3.14180048,2.0782641020700154E-4,6.614882502246022E-5,-3.6822992639089924,50000000,4
469,3.14139256,-2.0009358979322656E-4,-6.369582469286378E-5,-3.6987668242174716,50000000,4
533,3.141419,-1.736535897931546E-4,-5.527870996933379E-5,-3.7603162344595025,16000000,1
515,3.1414735,-1.1915358979308621E-4,-3.792920417539292E-5,-3.923892868937806,16000000,1
538,3.14057575,-0.0010169035897931167,-3.2379527537048476E-4,-2.9927202195508085,16000000,1
531,3.14186625,2.7359641020696657E-4,8.708085845696537E-5,-3.56288960518852,16000000,1
524,3.14145275,-1.3990358979310002E-4,-4.453467899305505E-5,-3.854171141781705,16000000,1
5016,3.141512975,-7.96785897931862E-5,-2.536312612020525E-5,-4.098658360960578,160000000,1
5007,3.141677525,8.487141020685485E-5,2.7014679110598674E-5,-4.071238581610701,160000000,1
4954,3.141476475,-1.1617858979295903E-4,-3.6982161323668365E-5,-3.93487389941129,160000000,1
5190,3.141446425,-1.4622858979329578E-4,-4.654817240542174E-5,-3.8349677082564306,160000000,1
5411,3.14165235,5.969641020708849E-5,1.900159647106991E-5,-4.224051784015138,160000000,1
5260,3.14171285,1.2019641020666327E-4,3.825824190350919E-5,-3.9201085028051437,160000000,1
5070,3.141658925,6.627141020709715E-5,2.1094400057159975E-5,-4.178673787841913,160000000,1
5070,3.141791275,1.9862141020698942E-4,6.321916156158063E-5,-3.7019739389545285,160000000,1
5300,3.14163685,4.419641020669829E-5,1.4067956392445006E-5,-4.354613004196956,160000000,1
5300,3.141538475,-5.417858979317458E-5,-1.724587816584821E-5,-4.266172303345176,160000000,1
5257,3.141605375,1.2721410207028327E-5,4.0493342379223316E-6,-4.895464743154289,160000000,1
5288,3.1416884,9.574641020693164E-5,3.0476100114489918E-5,-4.018877499934238,160000000,1
5350,3.14150445,-8.82035897933342E-5,-2.807686291621653E-5,-4.054513739179853,160000000,1
5381,3.141821825,2.2917141020695198E-4,7.294220454622757E-5,-3.6398395628120537,160000000,1
5226,3.1416133,2.0646410206826005E-5,6.57191329271047E-6,-4.685155448263895,160000000,1
5257,3.1416211,2.8446410206939277E-5,9.054691607125785E-6,-4.545972531577662,160000000,1
5331,3.141681675,8.902141020694643E-5,2.8335592022366947E-5,-4.050505530248461,160000000,1
5331,3.141517925,-7.472858979307162E-5,-2.3787414739348216E-5,-4.1265132132592335,160000000,1
5067,3.141477875,-1.147785897930298E-4,-3.653649472003039E-5,-3.9401391154391026,160000000,1
5067,3.1414288,-1.6385358979320586E-4,-5.21589379307931E-5,-3.785544039418607,160000000,1
5269,3.141781625,1.8897141020701724E-4,6.01478500935014E-5,-3.723603895977717,160000000,1
5285,3.1414406,-1.5205358979297756E-4,-4.840250354979736E-5,-3.818003322255279,160000000,1
5158,3.141350025,-2.4262858979318125E-4,-7.72370439022252E-5,-3.615058025984471,160000000,1
5158,3.1417568,1.6414641020690013E-4,5.224669529064125E-5,-3.7847686106159197,160000000,1
5083,3.14140155,-1.9110358979324005E-4,-6.08338624501029E-5,-3.7187311548458117,160000000,1
5083,3.14165725,6.459641020706286E-5,2.0561253207065428E-5,-4.189791616224461,160000000,1
5209,3.141466025,-1.2662858979295422E-4,-4.030875673498783E-5,-3.897468229646095,160000000,1
5209,3.141636525,4.387141020689711E-5,1.3964508579456725E-5,-4.357818405366416,160000000,1
5374,3.141511875,-8.077858979316233E-5,-2.5713284879167398E-5,-4.092703732874298,160000000,1
5374,3.141599075,6.421410206680633E-6,2.043994174107221E-6,-5.192369585992632,160000000,1
5254,3.14141285,-1.7980358979308164E-4,-5.723653603603284E-5,-3.7452016417920926,160000000,1
5254,3.14163135,3.869641020681769E-5,1.2317298210949445E-5,-4.412329321794578,160000000,1
5111,3.14174705,1.543964102070916E-4,4.914348855904602E-5,-3.8113628014444227,160000000,1
5127,3.141582075,-1.0578589793031057E-5,-3.3672810515482255E-6,-4.9755722232200155,160000000,1
5206,3.1415546,-3.8053589793030085E-5,-1.2112980558424827E-5,-4.419604367703757,160000000,1
5206,3.14157515,-1.7503589793133045E-5,-5.571596717376964E-6,-4.756872873172662,160000000,1
5253,3.141638125,4.547141020694312E-5,1.4473789913961883E-5,-4.342261576791224,160000000,1
5268,3.141562775,-2.987858979297542E-5,-9.51074096966769E-6,-4.524639904165272,160000000,1
5315,3.14162195,2.9296410207102497E-5,9.325250037517243E-6,-4.533185592026752,160000000,1
5331,3.141443075,-1.4957858979292027E-4,-4.761461093574655E-5,-3.8251305655639807,160000000,1
5207,3.141489825,-1.0282858979326903E-4,-3.273242809031509E-5,-3.9878861201344264,160000000,1
5222,3.141702025,1.093714102067267E-4,3.4812789162182465E-5,-3.9610961881684394,160000000,1
5331,3.14174365,1.5099641020688281E-4,4.8061340143675575E-5,-3.821033377513943,160000000,1
5503,3.1418944,3.017464102068601E-4,9.603964099075389E-5,-3.5203578878805732,160000000,1
5519,3.14138665,-2.0600358979327993E-4,-6.557727931812531E-5,-3.686125211602551,160000000,1
5268,3.141612,1.934641020673311E-5,6.1581157083475336E-6,-4.713399608011452,160000000,1
5347,3.141429725,-1.6292858979305436E-4,-5.186447065692496E-5,-3.788002701450119,160000000,1
5409,3.141612,1.934641020673311E-5,6.1581157083475336E-6,-4.713399608011452,160000000,1
