temps_ms,pi_valeur,difference,error_percent,ntotal,nprocess
112,3.14102,-5.726535897929708E-4,-0.018228129898973967,1000000,1
162,3.142356,7.63346410206811E-4,0.02429807089517352,1000000,2
113,3.142432,8.39346410206776E-4,0.026717226030169218,1000000,3
111,3.14232,7.27346410206664E-4,0.023152155304907194,1000000,4
110,3.141288,-3.0465358979325785E-4,-0.009697424949257516,1000000,5
187,3.14094,-6.526535897930508E-4,-0.02077460898844684,1000000,6
319,3.13878,-0.0028126535897929905,-0.08952954440414371,1000000,7
242,3.140484,-0.0011086535897932848,-0.035289539798435146,1000000,8

