temps_ms,pi_valeur,erreur_avant,error_avant_relative,log10Error,ntotal,n_workers
546,3.14072975,-8.629035897929072E-4,-2.7474620819983224E-4,-3.0640377242846686,16000000,1
521,3.141135,-4.576535897933276E-4,-1.456968865691311E-4,-3.3394631267219514,16000000,1
513,3.1413665,-2.2615358979294342E-4,-7.199210591726352E-5,-3.645596514197554,16000000,1
527,3.14164525,5.259641020671779E-5,1.674167705813309E-5,-4.279043896162146,16000000,1
520,3.14209825,5.055964102069765E-4,1.609104394514005E-4,-3.296196018255806,16000000,1
529,3.14123925,-3.5340358979318864E-4,-1.1250451228545824E-4,-3.451729043342399,16000000,1
